family	genus	scientific_name	mycorrhizal_type
Rubiaceae	Atractocarpus	Atractocarpus hirtus	NM-AM
Sapindaceae	Lepisanthes	Lepisanthes senegalensis	AM
Fabaceae	Acacia	Acacia holosericea	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus marginata	EcM
Cupressaceae	Callitris	Callitris oblonga	AM
Arecaceae	Livistona	Livistona mariae	AM
Myrtaceae	Eucalyptus	Eucalyptus comitae-vallis	EcM
Fabaceae	Bossiaea	Bossiaea aquifolium	AM
Primulaceae	Myrsine	Myrsine porosa	AM
Annonaceae	Miliusa	Miliusa horsfieldii	AM
Meliaceae	Owenia	Owenia reticulata	AM
Symplocaceae	Symplocos	Symplocos baeuerlenii	AM
Myrtaceae	Eucalyptus	Eucalyptus koolpinensis	EcM
Myrtaceae	Syzygium	Syzygium nervosum	AM
Sapotaceae	Planchonella	Planchonella australis	AM
Lauraceae	Endiandra	Endiandra anthropophagorum	AM
Myrtaceae	Eucalyptus	Eucalyptus ovularis	EcM
Hernandiaceae	Hernandia	Hernandia nymphaeifolia	AM
Myrtaceae	Eucalyptus	Eucalyptus pachyphylla	EcM
Fabaceae	Acacia	Acacia subulata	EcM-AM
Podocarpaceae	Sundacarpus	Sundacarpus amarus	AM
Myrtaceae	Eucalyptus	Eucalyptus burracoppinensis	EcM
Monimiaceae	Steganthera	Steganthera laxiflora	AM
Moraceae	Ficus	Ficus calopilina	AM
Malvaceae	Brachychiton	Brachychiton vitifolius	AM
Lamiaceae	Callicarpa	Callicarpa tomentosa	AM
Proteaceae	Banksia	Banksia integrifolia	NM
Myrtaceae	Eucalyptus	Eucalyptus lesouefii	EcM
Fabaceae	Acacia	Acacia veronica	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus melliodora	EcM
Myrtaceae	Agonis	Agonis flexuosa	EcM-AM
Fabaceae	Acacia	Acacia gillii	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus erythronema	EcM
Myrtaceae	Eugenia	Eugenia reinwardtiana	AM
Fabaceae	Acacia	Acacia trachycarpa	EcM-AM
Podocarpaceae	Podocarpus	Podocarpus dispermus	AM
